Date,Company,Method,in-house,copy-paste,got basic detail wrong,wrong tech stack,Bullshit Level,dafuq,!
2021/11/15,<Our client>,LinkedIn (DM),No,Yes,No,No,None,,
2021/11/15,Scouty,LinkedIn (DM),No,Yes,No,No,None,,
2021/11/15,<Our client>,LinkedIn (DM),No,Yes,No,No,Low,,
2021/11/16,Plum Guide,LinkedIn (DM),No,Yes,No,No,Low,,
2021/11/17,Hyperexponential,LinkedIn (DM),No,Yes,No,No,Low,,
2021/11/17,<Open to opportunities>,LinkedIn (DM),No,Yes,No,No,Moderate,,
2021/11/17,<Our client>,LinkedIn (DM),No,Yes,No,No,High,I am looking to headhunt a React Developer,
2021/11/17,PPC Protect,LinkedIn (DM),Yes,Yes,No,No,Moderate,,
2021/11/17,Eigen Tech,LinkedIn (DM),Yes,Yes,No,Yes,Low,,
2021/11/17,Pollen,LinkedIn (DM),Yes,Yes,No,No,High,,
2021/11/17,<Our client>,LinkedIn (DM),No,Yes,No,No,None,,
2021/11/17,<Open to opportunities>,LinkedIn (DM),No,Yes,No,No,Moderate,,
2021/11/18,Vestaire Collective,LinkedIn (DM),Yes,Yes,No,No,None,,
2021/11/18,<Our client>,LinkedIn (DM),No,Yes,No,No,Low,,
2021/11/18,<Our client>,LinkedIn (DM),No,Yes,No,No,Moderate,I have just taken on a Full Stack Developer role within a company I’d consider modern-day Eco heroes.,
2021/11/18,Flawless,LinkedIn (DM),Yes,Yes,No,Yes,Moderate,,
2021/11/18,Grail,LinkedIn (DM),Yes,Yes,No,No,High,Didn’t even say what type of dev or tech stack!,
2021/11/22,<Our client>,LinkedIn (DM),No,Yes,No,Yes,Moderate,,
2021/11/22,<Our client>,LinkedIn (DM),No,Yes,No,No,Low,,
2021/11/22,<Our client>,LinkedIn (DM),No,Yes,No,No,Low,,
2021/11/23,<Our client>,LinkedIn (DM),No,Yes,No,No,Low,,
2021/11/23,Kaluza,LinkedIn (DM),Yes,Yes,No,No,Moderate,,
2021/11/23,<Our client>,LinkedIn (DM),No,Yes,No,No,None,,
2021/11/23,<Our client>,LinkedIn (DM),No,Yes,No,No,Moderate,,
2021/11/23,Robin AI,LinkedIn (DM),No,Yes,No,No,High,,
2021/11/24,<Our client>,LinkedIn (DM),No,Yes,No,No,Low,,
2021/11/24,Hyperexponential,LinkedIn (DM),No,Yes,No,No,High,"Well, I can tell you that Cristiano Ronaldo’s legs are insured for €100 million",
2021/11/24,<Our client>,LinkedIn (DM),No,No,No,No,Moderate,,
2021/11/24,<Our client>,LinkedIn (DM),No,No,No,No,Moderate,,
2021/11/25,Hyperexponential,LinkedIn (DM),No,Yes,No,No,High,"I sent you a message yesterday about a company called Hyperexponential but appreciate you probably get hundreds of messages each day, so this one might have slipped through the net! 🎣",
2021/11/25,<Our client>,LinkedIn (DM),No,Yes,No,No,Moderate,,
2021/11/25,Luminovo,LinkedIn (DM),No,Yes,No,No,High,,
2021/11/26,<Our client>,LinkedIn (DM),No,Yes,No,No,Moderate,,
2021/11/26,<Our client>,LinkedIn (DM),No,Yes,No,No,Moderate,,
2021/11/26,Coremont,LinkedIn (DM),No,Yes,No,No,High,,
2021/11/26,Riskcare,LinkedIn (DM),No,No,No,No,Moderate,,
2021/11/27,<Our client>,LinkedIn (DM),No,Yes,No,No,None,,
2021/11/29,<Our client>,LinkedIn (DM),No,Yes,No,No,High,,
2021/11/29,Freetrade,LinkedIn (DM),No,Yes,No,No,Low,,
